22 104,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
2.72,1,0,39,0,0,1,31,3,0,0,3,0,110,9,1,5,4,0,0,1,0,29,0,0,3,0,1,0,0,0,0,0,0,3,1,1,21,2,0,0,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,8,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,4,253,216,0
16.48,5,1,69,0,0,0,39,3,1,0,2,1,153,86,0,4,4,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,5,0,0,24,2,2,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,10,4,5,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,288,231,0
17.52,0,2,58,0,0,0,39,4,1,1,1,0,162,65,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,18,1,0,0,21,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,2,0,7,20,8,5,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,15,12,15,206,169,0
18.53,1,2,85,0,0,0,29,5,0,1,0,0,116,74,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,1,27,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,2,0,3,13,2,0,0,8,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,12,658,247,0
18.99,1,1,100,1,0,0,26,7,1,1,1,0,113,54,0,3,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,2,0,36,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,4,9,3,0,0,3,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,12,15,14,425,151,0
19.43,1,0,92,0,0,1,6,10,0,2,1,0,146,37,0,0,9,0,0,0,0,12,0,0,1,1,0,0,0,0,0,0,0,6,3,3,45,1,1,0,11,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,3,0,4,7,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,462,208,0
21.94,4,1,124,0,0,5,37,42,2,1,2,0,106,10,0,1,23,1,2,0,0,40,0,0,1,0,0,0,0,0,0,0,0,4,0,1,17,4,0,0,18,0,0,0,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,4,12,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,9,542,263,0
23.55,3,0,201,0,0,4,36,36,2,1,0,0,40,34,0,2,29,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,13,4,0,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,3,1,4,17,5,0,0,18,0,1,0,68,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,310,231,0
24.03,7,6,152,0,0,3,31,20,2,0,0,0,32,15,0,0,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,7,3,0,0,9,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,1,16,15,2,0,11,0,0,0,132,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,9,174,125,0
24.5,6,3,290,0,0,6,15,33,1,1,0,0,44,32,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,5,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,6,10,9,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,417,153,0
